word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
instructional,0.026590661,0.039848671,0.006126899,0.012708813,0.001992663,0.115644996,0.037053835,0.010277722,0.020187661,0.02191852,0.004488762,0.023330788,0.026680833,12,0.348638004,0.069482863,1,0,,,
improve,0.034115117,0.036654694,0.019043063,0.040060388,0.011386647,0.033327088,0.035082887,0.029251977,0.025500204,0.015781334,0.017955049,0.01979582,0.026496189,12,0.348289492,0.068984989,1,0,,,
suggest,0.035135382,0.02555182,0.002980653,0.012156256,0.038714601,0.040992318,0.031929369,0.018974256,0.029041899,0.037699854,0.013466287,0.031107717,0.026479201,12,0.348257428,0.068939182,1,0,,,
interaction,0.045720634,0.05003898,0.006789266,0.010222306,0.011671313,0.035993255,0.035871266,0.006720049,0.014875119,0.059180004,0.007053769,0.033228697,0.026447055,12,0.348196753,0.068852504,1,0,,,
feedback,0.037112146,0.024943443,0.009273144,0.029838082,0.003415994,0.035326713,0.055974943,0.004743564,0.025500204,0.027617335,0.037833853,0.022623794,0.026183601,12,0.347699488,0.068142126,1,0,,,
class,0.033413685,0.030723021,0.011425838,0.03398226,0.029035951,0.02266242,0.024833954,0.031228462,0.014875119,0.038576595,0.017955049,0.024037781,0.026062511,12,0.347470932,0.067815618,1,0,,,
academic,0.030735489,0.019315959,0.009438736,0.029838082,0.009963316,0.019329711,0.027987471,0.023717819,0.047104543,0.060933485,0.021161308,0.00989791,0.025785319,12,0.346947737,0.067068195,1,0,,,
describe,0.017089442,0.019315959,0.029144167,0.061333835,0.013094644,0.027328212,0.01458502,0.012254207,0.018062644,0.017534816,0.059636412,0.019088826,0.025705682,12,0.346797423,0.066853461,1,0,,,
however,0.040045408,0.035894223,0.012750573,0.020997169,0.032167279,0.029661108,0.032717748,0.023717819,0.019479322,0.023672001,0.015390042,0.020502813,0.025582959,12,0.346565785,0.06652255,1,0,,,
need,0.026335595,0.036806788,0.012916165,0.028732968,0.011386647,0.031994005,0.021680436,0.021346038,0.029396068,0.023233631,0.021161308,0.038177652,0.025263942,12,0.345963645,0.06566235,1,0,,,
scale,0.017790874,0.011102874,0.005298939,0.009117192,0.12753045,0.007998501,0.023257195,0.051388609,0.015937627,0.017973186,0.009618776,0.004241961,0.025104682,12,0.345663045,0.065232921,1,0,,,
change,0.020277771,0.020228524,0.011094654,0.013813927,0.019926633,0.027328212,0.01458502,0.050598015,0.041437831,0.014027853,0.016031294,0.048075562,0.024785441,12,0.345060483,0.064372118,1,0,,,
impact,0.036538247,0.024030878,0.006292491,0.016300434,0.025619956,0.033660359,0.033506128,0.020555444,0.023021017,0.032439409,0.010260028,0.033935691,0.024680007,12,0.344861477,0.064087824,1,0,,,
simulation,0.017408275,0.01642617,0.060772211,0.031219475,0.055794572,0.016330273,0.011037313,0.011463613,0.010625085,0.001315111,0.057071405,0.004948955,0.024534371,12,0.344586592,0.063695132,1,0,,,
task,0.042468538,0.033916999,0.007948409,0.014919041,0.009963316,0.04899082,0.038630594,0.015416583,0.018062644,0.019288297,0.015390042,0.028986736,0.024498502,12,0.344518889,0.063598412,1,0,,,
first,0.024677664,0.020532712,0.012916165,0.031219475,0.017079971,0.0263284,0.020892056,0.017788365,0.034000272,0.02191852,0.043605119,0.022623794,0.024465209,12,0.34445605,0.063508642,1,0,,,
focus,0.027164561,0.028441609,0.008279593,0.021549726,0.011671313,0.027661483,0.016161779,0.01976485,0.032583594,0.024987113,0.024367566,0.048075562,0.024225729,12,0.344004034,0.062862906,1,0,,,
evaluation,0.028439892,0.03285234,0.019374247,0.042823173,0.01565664,0.050657174,0.028775851,0.011463613,0.008854237,0.014904593,0.021802559,0.014846865,0.024204265,12,0.343963522,0.062805032,1,0,,,
explore,0.030735489,0.033156528,0.004139796,0.009946027,0.012525312,0.027661483,0.033111938,0.021741335,0.020896,0.040768447,0.009618776,0.045247588,0.02412906,12,0.343821573,0.062602247,1,0,,,
experimental,0.036793313,0.040609142,0.025501146,0.025417625,0.002846662,0.021329336,0.02995842,0.053365094,0.009208407,0.010082519,0.02565007,0.005655949,0.02386814,12,0.343329091,0.061898702,1,0,,,
survey,0.025952996,0.020684806,0.012750573,0.032877146,0.013948643,0.02266242,0.033900318,0.013044801,0.044625357,0.039891706,0.015390042,0.010604903,0.023861143,12,0.343315883,0.061879833,1,0,,,
understanding,0.019257505,0.017338735,0.014406491,0.02652274,0.003131328,0.03032765,0.013008261,0.064038113,0.030104407,0.015342964,0.02565007,0.026158762,0.023773919,12,0.34315125,0.061644642,1,0,,,
framework,0.021042969,0.032091869,0.012088205,0.011879977,0.018218636,0.03032765,0.031929369,0.010277722,0.030458577,0.042083558,0.006412517,0.033935691,0.023395562,12,0.342437106,0.060624438,1,0,,,
pre,0.027037027,0.021445277,0.004305388,0.0038679,0.000569332,0.014663919,0.024439764,0.102777218,0.019125153,0.014466223,0.002565007,0.041005627,0.02302232,12,0.341732618,0.059618025,1,0,,,
compare,0.028567425,0.024639255,0.010597879,0.016576712,0.049531916,0.030660921,0.022863005,0.021346038,0.025854373,0.014027853,0.017313797,0.013432878,0.022951004,12,0.341598011,0.05942573,1,0,,,
perception,0.029842757,0.027529044,0.003477429,0.006078128,0.004554659,0.028328025,0.039418974,0.031623759,0.021604339,0.049974225,0.005130014,0.027572749,0.022927842,12,0.341554292,0.059363275,1,0,,,
question,0.027228327,0.029658362,0.004305388,0.012985091,0.011101981,0.021662607,0.03035261,0.047435639,0.038604475,0.021480149,0.01090128,0.018381833,0.022841479,12,0.341391283,0.059130404,1,0,,,
report,0.024103765,0.020532712,0.004636572,0.019063219,0.021919296,0.029661108,0.033111938,0.012649504,0.025500204,0.028932446,0.012825035,0.041005627,0.022828452,12,0.341366696,0.05909528,1,0,,,
increase,0.02754716,0.024791349,0.012419389,0.029838082,0.0193573,0.025661858,0.02995842,0.016997771,0.025854373,0.018411557,0.02565007,0.016260852,0.022729015,12,0.34117901,0.058827157,1,0,,,
role,0.028439892,0.027833232,0.00712045,0.008564635,0.005693324,0.035326713,0.023651384,0.017393068,0.018416814,0.037699854,0.008977524,0.053024517,0.022678451,12,0.34108357,0.058690815,1,0,,,
make,0.026845728,0.02631229,0.017552737,0.025417625,0.016225972,0.022995691,0.013796641,0.022136632,0.015229288,0.021041779,0.02949758,0.033935691,0.022582305,12,0.340902096,0.058431566,1,0,,,
laboratory,0.010537205,0.007063532,0.069392355,0.131292753,0.001229807,0.002879574,0.002128709,0.020493006,0.014535691,0.000946918,0.146826805,0,0.037029669,11,0.340898545,0.097387531,0.909090909,0,,,
identify,0.025825462,0.029658362,0.004802164,0.00939347,0.0193573,0.039659235,0.024045574,0.022927226,0.03541695,0.027178965,0.010260028,0.0219168,0.022536795,12,0.340816197,0.058308853,1,0,,,
communication,0.028312359,0.02920208,0.013744124,0.02652274,0.000284666,0.023662233,0.024833954,0.011068316,0.012750102,0.022795261,0.032062587,0.043833601,0.022422668,12,0.340600785,0.058001122,1,0,,,
